,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Riyadh,SA,24.6877,46.7219,78.94,20,0,4.59,clear sky
254,Aksarka,RU,66.5606,67.7975,33.73,85,8,2.71,clear sky
255,Wankyi,GH,7.7392,-2.1046,72.37,92,95,3.69,light rain
256,Turukhansk,RU,65.8167,87.9833,32.32,99,100,6.93,overcast clouds
257,Sur,OM,22.5667,59.5289,78.71,71,7,7.85,clear sky
258,Mackay,AU,-21.15,149.2,72.68,63,98,15.35,overcast clouds
259,Departamento de Maldonado,UY,-34.6667,-54.9167,57.22,85,58,9.91,broken clouds
260,Vilcún,CL,-38.65,-72.2333,50.74,94,97,4.79,overcast clouds
261,Makakilo City,US,21.3469,-158.0858,86.32,61,75,14.97,broken clouds
262,Ugoofaaru,MV,5.6667,73.0,81.77,76,100,17.65,overcast clouds
263,Conde,BR,-7.2597,-34.9075,76.46,83,0,8.05,clear sky
264,Ola,RU,59.5833,151.2833,28.15,78,100,14.76,overcast clouds
265,Manadhoo,MV,5.7667,73.3833,81.68,78,100,18.72,overcast clouds
266,Aripuanã,BR,-9.1667,-60.6333,76.05,83,100,5.01,light rain
267,Los Llanos de Aridane,ES,28.6585,-17.9182,78.12,55,75,7.0,broken clouds
268,Kirakira,SB,-10.4544,161.9205,83.98,66,33,11.27,scattered clouds
269,Mwene-Ditu,CD,-7.0,23.45,69.73,76,32,1.07,scattered clouds
270,Deyang,CN,31.1302,104.382,62.2,89,100,2.8,moderate rain
271,Rockland,US,41.1668,-74.0496,53.96,94,100,1.01,overcast clouds
272,Vol'sk,RU,52.0333,47.3833,53.55,49,100,11.61,moderate rain
273,Christchurch,NZ,-43.5333,172.6333,42.91,88,75,14.97,light rain
274,Palmerston,AU,-12.486,130.9833,79.93,82,0,5.75,clear sky
275,Mīrābād,AF,30.4362,61.8383,77.18,19,0,14.97,clear sky
276,Clyde River,CA,70.4692,-68.5914,26.83,86,100,17.27,overcast clouds
277,Yatou,CN,37.15,122.3833,49.26,54,10,17.92,clear sky
278,Buraidah,SA,26.326,43.975,81.05,18,0,11.12,clear sky
279,Río Cuarto,AR,-33.1307,-64.3499,76.77,23,0,21.85,clear sky
280,Bereda,ES,43.2686,-7.5406,59.41,80,3,1.86,clear sky
281,Tiksi,RU,71.6872,128.8694,21.24,86,100,13.49,overcast clouds
282,Yurgamysh,RU,55.3714,64.4656,44.15,44,63,7.4,broken clouds
283,Catuday,PH,16.2923,119.8062,79.54,80,97,3.69,overcast clouds
284,Bitung,ID,1.4451,125.1824,76.05,84,96,4.52,overcast clouds
285,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,100,100,4.47,light intensity shower rain
286,Khatanga,RU,71.9667,102.5,24.26,97,100,5.06,light snow
287,Laas,IT,46.6166,10.7002,52.68,48,13,1.74,few clouds
288,Vallenar,CL,-28.5708,-70.7581,64.38,45,2,7.7,clear sky
289,Souillac,MU,-20.5167,57.5167,70.18,83,40,6.91,scattered clouds
290,Kahului,US,20.8947,-156.47,84.22,76,40,19.57,scattered clouds
291,Kaitangata,NZ,-46.2817,169.8464,38.7,92,72,14.05,broken clouds
292,Celestún,MX,20.8667,-90.4,80.94,62,52,12.59,broken clouds
293,La Ronge,CA,55.1001,-105.2842,66.45,34,40,6.91,smoke
294,Batticaloa,LK,7.7102,81.6924,80.47,74,100,4.03,overcast clouds
295,Tual,ID,-5.6667,132.75,81.57,79,100,9.53,overcast clouds
296,Araras,BR,-22.3569,-47.3842,73.08,68,35,6.31,scattered clouds
297,Nyimba,ZM,-14.5566,30.8149,76.96,29,4,5.21,clear sky
298,Nouadhibou,MR,20.931,-17.0347,76.98,65,62,12.66,broken clouds
299,Cockburn Town,TC,21.4612,-71.1419,84.04,67,62,4.43,broken clouds
300,Deputatsky,RU,69.3,139.9,-1.05,98,60,4.0,broken clouds
301,San Andrés,CO,12.5847,-81.7006,87.82,70,40,6.91,scattered clouds
302,Great Yarmouth,GB,52.6083,1.7305,61.05,85,100,17.87,overcast clouds
303,Glomfjord,NO,66.8167,13.9667,45.23,89,100,8.86,light rain
304,Birao,CF,10.2849,22.7882,67.55,94,100,3.56,overcast clouds
305,The Valley,AI,18.217,-63.0578,83.1,83,20,13.8,few clouds
306,Arrondissement de Saint-Denis,FR,48.9167,2.3333,60.58,84,75,6.91,broken clouds
307,Dawei,MM,14.0833,98.2,74.3,92,83,4.16,broken clouds
308,Soyo,AO,-6.1349,12.3689,75.67,86,25,6.64,scattered clouds
309,Chui,UY,-33.6971,-53.4616,54.64,86,13,6.67,few clouds
310,Kolpashevo,RU,58.3131,82.9089,36.77,94,100,8.3,light rain
311,Kerema,PG,-7.9631,145.7785,81.18,83,100,6.44,overcast clouds
312,Yantal',RU,56.8471,105.2542,22.86,90,49,2.17,scattered clouds
313,Inuvik,CA,68.3499,-133.7218,36.46,69,40,13.8,scattered clouds
314,Orlik,RU,52.5178,99.825,21.18,61,0,3.09,clear sky
315,Baruun-Urt,MN,46.6806,113.2792,21.52,66,4,3.22,clear sky
